王安石	梅花	墙角数枝梅，凌寒独自开。
李白	送友人	此地一为别，孤蓬万里征。
柳永	浪淘沙慢	江乡夜夜，数寒更思忆。
王维	竹里馆	独坐幽篁里，弹琴复长啸。
曹植	七步诗	本是同根生，相煎何太急？
李白	关山月	明月出天山，苍茫云海间。
曾允元	齐天乐	雾湿云鬟，浅妆深拜月。
李商隐	夜饮	烛分歌扇泪，雨送酒船香。
李商隐	风雨	凄凉宝剑篇，羁泊欲穷年。
刘眘虚	阙题	道由白云尽，春与青溪长。
王维	陇西行	关山正飞雪，烽戍断无烟。
李贺	赠陈商	天眼何时开？古剑庸一吼。
秦观	千秋岁	日边清梦断，镜里朱颜改。
李白	长干行	同居长干里，两小无嫌猜。
崔道融	牧竖	牧竖持蓑笠，逢人气傲然。
袁中道	夜泉	流泉得月光，化为一溪雪。
徐幹	与妻别	愿为双黄鹄，比翼戏清池。
王维	终南山	太乙近天都，连山到海隅。
王维	鸟鸣涧	人闲桂花落，夜静春山空。
元稹	思归乐	身安即形乐，岂独乐咸京。
马湘兰	怆别	寒雨三江信，秋风一夜眠。
李元膺	洞仙歌	但莫管春寒，醉红自暖。
陆机	文赋	笼天地于形内，挫万物于笔端
李白	送友人	浮云游子意，落日故人情。
钱福	明日歌	明日复明日，明日何其多。
曹植	白马篇	控弦破左的，右发摧月支。
范仲淹	岳阳楼记	日星隐耀，山岳潜形。
刘桢	赠从弟	何时当来仪，将须圣明君。
徐幹	答刘桢	我思一何笃，其愁如三春。
曹操	蒿里行	生民百遗一，念之断人肠。
吴宽	马蔺草	不为人所贵，独取其根长。
赵执信	萤火	君看落空阔，何异大星芒。
刘桢	赠从弟	风声一何盛，松枝一何劲！
卢纶	塞下曲	林暗草惊风，将军夜引弓。
裴迪	华子冈	云光侵履迹，山翠拂人衣。
白居易	销暑	热散由心静，凉生为室空。
张先	千秋岁	夜过也，东窗未白凝残月。
李隆基	端午	端午临中夏，时清日复长。
王安石	梅花	遥知不是雪，为有暗香来。
李白	长相思（其一）	长相思，在长安。
李煜	浪淘沙令	金锁已沉埋，壮气蒿莱。
杜甫	石壕吏	夜久语声绝，如闻泣幽咽。
于武陵	劝酒	花发多风雨，人生足别离。
谢灵运	岁暮	明月照积雪，朔风劲且哀。
徐幹	答刘桢	陶陶朱夏德，草木昌且繁。
李清照	浪淘沙	帘外五更风，吹梦无踪。
曹植	七哀诗	愿为西南风，长逝入君怀。
张祜	何满子	故国三千里，深宫二十年。
李白	静夜思	举头望明月，低头思故乡。
李商隐	天涯	莺啼如有泪，为湿最高花。
王褒	关山月	影亏同汉阵，轮满逐胡兵。
骆宾王	咏鹅	鹅，鹅，鹅，曲项向天歌。
白居易	闲坐	百年慵里过，万事醉中休。
姬昌	周易 · 乾卦	初九：潜龙勿用。
李白	长干行	郎骑竹马来，绕床弄青梅。
柳宗元	江雪	孤舟蓑笠翁，独钓寒江雪。
杨炯	从军行	宁为百夫长，胜作一书生。
秦观	千秋岁	飘零疏酒盏，离别宽衣带。
范仲淹	岳阳楼记	浮光跃金，静影沉璧。
崔道融	梅花	香中别有韵，清极不知寒。
孟郊	游子吟	临行密密缝，意恐迟迟归。
于武陵	劝酒	劝君金屈卮，满酌不须辞。
李商隐	夜饮	江海三年客，乾坤百战场。
陆龟蒙	别离	所志在功名，离别何足叹。
周邦彦	苏幕遮	小楫轻舟，梦入芙蓉浦。
孟浩然	春晓	春眠不觉晓，处处闻啼鸟。
李商隐	晚晴	天意怜幽草，人间重晚晴。
文嘉	今日歌	今日复今日，今日何其少！
曹植	白马篇	仰手接飞猱，俯身散马蹄。
王维	竹里馆	深林人不知，明月来相照。
杨慎	临江仙	古今多少事，都付笑谈中。
高适	送魏八	此路无知己，明珠莫暗投。
卢纶	塞下曲	独立扬新令，千营共一呼。
李白	送友人	挥手自兹去，萧萧班马鸣。
王勃	上刘右相书	浇风易渐，淳化难归。
王维	终南山	分野中峰变，阴晴众壑殊。
曹操	蒿里行	白骨露于野，千里无鸡鸣。
王维	辛夷坞	涧户寂无人，纷纷开且落。
韦应物	东郊	杨柳散和风，青山澹吾虑。
陆游	宝剑吟	取酒起酹剑，至宝当潜形。
张先	醉垂鞭	昨日乱山昏，来时衣上云。
孟郊	游子吟	慈母手中线，游子身上衣。
谢灵运	岁暮	运往无淹物，年逝觉已催。
贾谊	过秦论	仁义不施而攻守之势异也。
徐幹	与妻别	岁月无穷极，会合安可知。
卢纶	送李端	路出寒云外，人归暮雪时。
